职位名称,工资,城市,出勤要求,实习周期,职位福利,公司名称,所属行业,公司规模,投递链接,省份
数据分析实习生,208.33,上海,5天/周,3个月,公司氛围好，上升空间大,雨诉投资,金融/经济/投资/财会,50-150人,https://www.shixiseng.com/intern/inn_udjv5efz4rcn?pcm=pc_SearchList,上海
数据分析师实习生,104.17,深圳,3天/周,3个月,五险 双;休，会务,挚信资本,金融/经济/投资/财会,15-50人,https://www.shixiseng.com/intern/inn_opml6lubugqs?pcm=pc_SearchList,广东
数据分析师实习生,145.83,上海,3天/周,3个月,待遇优厚，投资,静逸资本,金融/经济/投资/财会,50-150人,https://www.shixiseng.com/intern/inn_uicoav0ma90x?pcm=pc_SearchList,上海
数据分析实习生,158.33,北京,5天/周,3个月,极度扁平化，管理规范，各种牛人，优秀可转正，工作氛围轻松，95后,mokahr,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_dmhvoq5tdymt?pcm=pc_SearchList,北京
数据分析实习生,125.0,杭州,5天/周,3个月,晋升机会大，团队靠谱，氛围相当好，活泼挑战，生日慰问，五天制,米奥兰特国际会展,广告/传媒/公关/展览,500-2000人,https://www.shixiseng.com/intern/inn_wwbrrworhnrt?pcm=pc_SearchList,浙江
数据分析实习生,145.83,南京,4天/周,3个月,明星企业，下午茶丰富，可以学到东西，高速发展中，十点上班,蓝鲸人,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_ssvvt8sgmsrs?pcm=pc_SearchList,江苏
数据标注实习生,137.5,苏州,5天/周,3个月,无人机 SLAM，包吃，人工智能，实习生基地,星逻智能,互联网/游戏/软件,50-150人,https://www.shixiseng.com/intern/inn_h36lgiptsvmp?pcm=pc_SearchList,江苏
数据挖掘实习生,333.33,全国,5天/周,2个月,数据分析，数据采集、加，软件开发,国准数据,电子/通信/硬件,50-150人,https://www.shixiseng.com/intern/inn_8lm7zdfctifv?pcm=pc_SearchList,其它
数据分析实习生,229.17,上海,5天/周,3个月,二次元，新兴文化代表，lo娘，猫房，特♂色社团，氛围爆好，有发展前景，技术牛人多，舒适的办公环境，发展好,哔哩哔哩,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_vfc9n0kgdjko?pcm=pc_SearchList,上海
数据开发实习生,179.17,西安,5天/周,3个月,午餐补助，定期体检，弹性工作，五险一金，团队聚餐，生育津贴,华润数科,电子/通信/硬件,500-2000人,https://www.shixiseng.com/intern/inn_edhhou6fofdj?pcm=pc_SearchList,陕西
数据助理（实习）,83.33,成都,5天/周,2个月,环境好，优秀可转正，补充商业险，团建乐趣多，待遇优越，团队建设活动，一年个次旅游，上班位置方便，上班位置方便，发展空间大,恒通评估,房产/家居/物业/建筑,150-500人,https://www.shixiseng.com/intern/inn_sdj0fq1g4o4k?pcm=pc_SearchList,四川
数据运营实习生,62.5,全国,3天/周,1个月,国企 央企，导师亲自指导,南方财经全媒体集团,广告/传媒/公关/展览,500-2000人,https://www.shixiseng.com/intern/inn_lytqxhiomvzm?pcm=pc_SearchList,其它
数据运营实习生,137.5,北京,5天/周,3个月,法定假日，年轻& 活力，电子技术，免费水果零食，专属指导老师，有培训有提升,爱乐优,电子/通信/硬件,150-500人,https://www.shixiseng.com/intern/inn_z4kwedfvvtr5?pcm=pc_SearchList,北京
语义数据分析员,薪资面议,合肥,5天/周,3个月,有梦想，锻炼自我，交通生活方便，福利体检，扁平管理，学习内容多,科大讯飞,互联网/游戏/软件,2000人以上,https://www.shixiseng.com/intern/inn_enjb2hwo9lx5?pcm=pc_SearchList,安徽
数据分析intern,45.0,上海,5天/周,3个月,有尊重有成长，超棒外企文化，弹性工作，超长带薪年假，福利真香,eBay,互联网/游戏/软件,500-2000人,https://www.shixiseng.com/intern/inn_ftun9i1mgmya?pcm=pc_SearchList,上海
